ID,age_years,travel_freq,daily_salary,work_division,commute_distance,education_level,degree_field,headcount,env_satisfaction,sex,hourly_wage,job_engagement,position_level,job_title,job_satisfaction,marital_state,monthly_earnings,monthly_salary,companies_count,is_adult,overtime_status,salary_increase_pct,performance_score,relation_satisfaction,std_work_hours,stock_level,career_years,trainings_last_year,work_life_score,tenure_years,years_current_role,years_post_promotion,years_with_manager,left_company
29,24,no_travel,218,sales,2,1,life_sci,1,4,female,45,3,2,sales_exec,3,single,6274,8386,1,yes,no,11,3,4,80,0,6,3,3,6,5,1,5,0
30,37,rare_travel,130,rnd,25,4,life_sci,1,2,male,56,4,2,health_rep,4,married,9715,12368,3,yes,yes,14,3,4,80,1,16,2,3,0,0,0,0,0
31,31,no_travel,1182,sales,8,4,marketing,1,4,male,66,3,3,sales_exec,2,married,10793,11652,1,yes,no,13,3,4,80,0,13,3,3,13,8,11,11,0
32,38,no_travel,1239,rnd,3,3,life_sci,1,2,male,41,1,2,health_rep,3,divorced,6811,4204,2,yes,no,20,4,4,80,1,15,2,3,3,2,1,2,0
33,47,rare_travel,827,rnd,9,4,medical,1,3,female,44,2,1,research_sci,3,divorced,3491,23231,2,yes,no,13,3,3,80,1,18,2,2,9,7,0,8,0
34,29,rare_travel,635,sales,12,1,life_sci,1,1,female,62,3,2,sales_exec,4,married,4559,19188,5,yes,yes,20,4,4,80,1,7,3,1,2,2,2,2,0
35,35,rare_travel,1125,sales,5,4,medical,1,3,female,52,3,2,sales_exec,2,married,8376,20317,5,yes,no,12,3,1,80,1,6,5,4,3,2,0,2,0
36,31,rare_travel,783,rnd,28,4,life_sci,1,4,male,60,3,2,mfg_dir,1,single,9852,8978,1,yes,no,11,3,2,80,0,9,2,3,9,7,1,4,0
37,25,rare_travel,541,rnd,2,3,life_sci,1,1,male,39,3,2,mfg_dir,2,divorced,4071,6217,1,yes,no,13,3,2,80,1,5,4,3,5,2,1,2,0
38,32,rare_travel,706,sales,7,3,life_sci,1,1,female,78,3,2,sales_exec,4,divorced,5769,23447,1,yes,no,12,3,4,80,1,10,5,2,10,7,2,8,0
39,40,no_travel,810,sales,5,3,life_sci,1,2,male,83,2,4,manager,4,married,17444,12695,1,yes,no,13,3,4,80,0,10,3,2,10,8,0,8,0
40,38,rare_travel,896,rnd,1,3,life_sci,1,2,male,41,3,1,research_sci,4,single,3348,15471,4,yes,no,12,3,4,80,0,20,3,2,4,3,1,3,0
41,30,rare_travel,495,rnd,1,4,medical,1,1,female,41,3,2,research_sci,4,married,5855,17491,7,yes,no,14,3,3,80,2,9,2,2,6,1,0,4,0
42,30,rare_travel,775,sales,1,4,other,1,2,male,61,2,2,sales_exec,3,divorced,6804,11761,7,yes,no,17,3,1,80,3,7,2,3,3,2,1,2,0
43,31,rare_travel,427,rnd,2,3,medical,1,4,male,37,2,1,research_sci,1,divorced,2886,13531,1,yes,no,15,3,1,80,1,6,5,2,5,4,4,4,0
44,59,rare_travel,1242,rnd,3,1,life_sci,1,3,female,42,3,2,health_rep,4,single,5258,19760,4,yes,no,11,3,1,80,0,10,2,3,3,2,0,2,0
45,36,frequent_travel,658,rnd,7,4,life_sci,1,2,female,83,3,3,mfg_dir,4,married,7396,4022,1,yes,no,18,3,3,80,0,10,2,3,10,9,0,8,0
46,33,rare_travel,653,rnd,1,4,life_sci,1,2,male,62,4,2,health_rep,4,single,5063,15332,9,yes,no,23,4,3,80,0,12,3,2,6,3,2,4,0
47,31,rare_travel,1443,sales,5,4,tech_deg,1,2,female,65,2,3,sales_exec,2,divorced,7861,20328,4,yes,no,21,4,4,80,3,9,3,3,5,3,0,1,0
48,40,rare_travel,683,rnd,6,4,other,1,1,male,52,2,2,lab_tech,3,single,2451,16900,4,yes,no,13,3,1,80,0,11,3,3,1,0,0,1,1
49,40,frequent_travel,660,rnd,29,4,life_sci,1,4,female,35,3,1,lab_tech,4,married,3690,8758,3,yes,no,21,4,3,80,1,20,4,3,4,2,1,3,0
50,31,rare_travel,894,rnd,1,3,life_sci,1,2,male,43,3,2,mfg_dir,2,divorced,4157,17241,0,yes,no,14,3,3,80,1,5,1,2,4,3,1,2,0
51,34,rare_travel,1278,sales,3,4,life_sci,1,2,male,93,3,2,sales_exec,3,divorced,5209,5594,1,yes,no,17,3,4,80,3,5,5,2,5,2,0,2,0
52,30,rare_travel,772,sales,9,3,marketing,1,3,female,82,2,3,sales_exec,3,married,8740,2253,0,yes,no,11,3,4,80,2,9,3,3,8,7,5,7,0
53,39,rare_travel,1189,sales,2,4,life_sci,1,4,male,87,4,2,sales_exec,1,married,6201,20439,0,yes,no,15,3,1,80,1,16,0,3,15,15,5,2,0
54,30,frequent_travel,575,hr,1,3,life_sci,1,2,female,77,3,1,hr,3,divorced,2143,5718,9,yes,yes,19,3,1,80,2,6,2,3,3,2,1,2,0
55,50,rare_travel,806,rnd,9,3,life_sci,1,3,male,94,3,4,research_dir,3,married,17159,25995,3,yes,no,11,3,2,80,2,28,3,3,7,0,7,7,0
56,44,no_travel,374,sales,8,3,marketing,1,3,male,80,3,1,sales_rep,4,married,3041,18203,2,yes,no,12,3,2,80,0,7,2,3,1,0,1,0,0
57,38,rare_travel,1089,rnd,17,4,medical,1,4,male,82,2,3,health_rep,2,married,10999,14168,7,yes,no,21,4,2,80,2,15,2,2,11,6,0,8,0
58,39,frequent_travel,1346,sales,9,3,life_sci,1,3,male,92,3,2,sales_exec,1,married,4998,15589,1,yes,no,18,3,2,80,3,8,3,3,7,7,7,7,0
59,36,rare_travel,933,rnd,2,3,life_sci,1,4,male,75,4,1,lab_tech,3,married,3920,19294,3,yes,no,22,4,2,80,1,5,2,4,1,0,0,0,0
60,52,rare_travel,674,rnd,9,2,life_sci,1,4,male,81,2,1,lab_tech,4,married,2743,7703,2,yes,no,19,3,1,80,1,12,4,3,5,4,1,3,0
61,35,rare_travel,430,rnd,17,4,medical,1,3,male,55,3,2,mfg_dir,1,married,6209,21057,2,yes,no,14,3,4,80,1,18,2,3,7,7,1,7,0
62,30,rare_travel,983,sales,7,3,medical,1,4,male,99,4,3,sales_exec,3,single,7644,16130,1,yes,no,14,3,4,80,0,15,3,2,15,12,5,10,0
63,31,rare_travel,135,rnd,6,3,life_sci,1,3,female,87,3,2,health_rep,2,single,4869,3193,1,yes,no,18,3,2,80,0,9,4,2,9,3,7,8,0
64,35,no_travel,1126,rnd,8,3,life_sci,1,1,female,91,3,3,health_rep,4,married,9699,8277,0,yes,no,14,3,1,80,1,10,2,3,9,8,0,8,0
65,25,rare_travel,397,rnd,1,1,tech_deg,1,3,female,96,2,1,research_sci,1,married,3408,6755,2,yes,yes,16,3,1,80,0,6,5,3,4,3,1,2,0
66,23,rare_travel,329,rnd,1,3,tech_deg,1,4,female,48,3,1,research_sci,1,married,2564,7508,1,yes,no,22,4,3,80,1,3,1,4,3,2,1,2,0
67,31,rare_travel,1448,rnd,3,3,medical,1,3,male,81,2,1,lab_tech,3,single,3875,21086,7,yes,no,11,3,2,80,0,4,6,3,3,2,1,2,1
68,38,rare_travel,548,rnd,1,15,life_sci,1,1,female,72,3,1,lab_tech,4,divorced,2644,6217,7,yes,no,13,3,1,80,1,7,2,3,5,2,1,4,0
69,28,frequent_travel,528,rnd,4,3,medical,1,1,female,84,3,1,research_sci,1,divorced,2683,2851,1,yes,no,14,3,1,80,1,6,5,1,6,5,1,2,0
70,34,rare_travel,1404,rnd,6,1,medical,1,2,female,56,4,2,health_rep,4,divorced,6735,12127,0,yes,yes,13,3,3,80,1,9,3,3,8,4,7,7,0
71,48,rare_travel,636,rnd,1,3,tech_deg,1,4,female,51,3,1,research_sci,1,married,2886,3692,2,yes,no,12,3,3,80,1,19,2,2,3,2,0,2,0
72,26,rare_travel,443,rnd,5,3,tech_deg,1,2,male,72,3,1,research_sci,2,married,3660,17808,1,yes,no,13,3,3,80,1,3,3,3,3,2,1,2,0
73,38,rare_travel,117,rnd,1,3,life_sci,1,3,female,63,2,2,mfg_dir,4,married,10435,20794,1,yes,no,14,3,4,80,3,14,2,2,14,8,2,8,0
74,34,frequent_travel,1115,rnd,2,3,medical,1,3,female,37,4,2,mfg_dir,4,single,5093,7346,0,yes,yes,12,3,4,80,0,16,3,3,16,9,9,15,0
75,40,rare_travel,583,rnd,2,4,medical,1,2,female,44,3,3,mfg_dir,4,single,7143,5855,1,yes,no,19,3,4,80,0,20,3,3,20,11,11,8,0
76,31,rare_travel,1174,rnd,3,3,medical,1,3,male,42,3,2,lab_tech,1,married,4434,9129,4,yes,no,12,3,1,80,0,7,4,3,1,0,0,1,1
77,27,rare_travel,1328,rnd,24,2,life_sci,1,1,female,63,3,1,research_sci,4,married,3539,21293,1,yes,no,17,3,4,80,1,7,1,3,7,7,1,7,0
78,49,rare_travel,444,rnd,9,4,life_sci,1,3,female,74,3,1,lab_tech,1,single,2782,25326,2,yes,no,12,3,3,80,0,19,2,2,3,2,1,2,0
79,19,frequent_travel,1373,rnd,8,3,life_sci,1,4,male,37,4,1,lab_tech,1,single,1859,4187,1,yes,yes,13,3,3,80,0,1,2,3,1,0,0,0,1
80,40,frequent_travel,693,sales,17,3,marketing,1,2,male,46,1,5,manager,2,single,18213,9755,3,yes,yes,13,3,3,80,0,22,2,2,5,2,1,4,1
81,39,rare_travel,990,rnd,28,3,life_sci,1,1,male,65,1,1,research_sci,1,married,2479,26897,1,yes,no,12,3,3,80,0,8,2,2,7,0,0,7,1
82,26,rare_travel,921,rnd,10,2,medical,1,4,female,32,1,1,lab_tech,2,married,2274,18168,5,yes,no,12,3,4,80,1,8,3,3,2,2,2,2,0
83,33,rare_travel,703,rnd,1,2,medical,1,3,male,77,3,3,research_dir,2,single,13464,3372,6,yes,no,11,3,3,80,0,12,2,2,1,0,0,0,0
84,29,rare_travel,1435,rnd,23,3,life_sci,1,4,male,84,2,1,research_sci,4,single,3867,10205,3,yes,no,14,3,3,80,0,4,1,2,2,2,2,2,0
85,27,rare_travel,571,rnd,4,3,life_sci,1,2,male,41,3,1,research_sci,3,single,2145,9129,0,yes,no,12,3,3,80,0,6,3,3,5,4,0,4,0
86,44,rare_travel,906,rnd,9,1,medical,1,1,male,88,3,1,research_sci,3,single,2342,17205,2,yes,no,11,3,3,80,0,7,3,3,4,2,1,3,0
87,34,rare_travel,1176,rnd,8,4,life_sci,1,3,female,65,2,1,research_sci,3,divorced,2782,20763,1,yes,no,13,3,4,80,1,6,3,3,6,0,1,4,0
88,26,rare_travel,1125,rnd,1,2,life_sci,1,4,male,57,3,1,lab_tech,1,married,3743,20978,1,yes,yes,18,3,4,80,0,3,3,2,3,2,1,2,1
89,59,rare_travel,594,rnd,1,4,medical,1,3,male,84,3,4,manager,2,divorced,16307,3536,3,yes,no,14,3,4,80,2,31,2,4,9,7,4,3,0
90,35,rare_travel,969,rnd,8,4,life_sci,1,4,male,94,3,1,lab_tech,3,married,1274,12124,1,yes,no,11,3,4,80,2,1,4,3,1,0,0,0,0
91,35,frequent_travel,556,sales,8,2,life_sci,1,3,female,54,3,2,sales_exec,4,single,4554,3140,1,yes,no,13,3,4,80,0,10,2,3,10,7,0,9,0
92,37,rare_travel,1440,rnd,4,3,medical,1,2,male,51,2,1,lab_tech,2,single,2956,22539,4,yes,no,14,3,3,80,0,7,3,2,5,4,0,0,0
93,41,rare_travel,956,rnd,6,4,life_sci,1,4,female,84,3,3,mfg_dir,3,divorced,10854,15395,4,yes,no,12,3,4,80,1,14,2,3,9,8,0,7,0
94,26,rare_travel,1242,rnd,5,3,life_sci,1,2,female,86,3,2,lab_tech,1,single,4244,21624,1,yes,yes,19,3,2,80,0,8,6,2,8,7,1,7,0
95,37,rare_travel,1362,sales,8,4,marketing,1,2,male,92,3,3,sales_exec,3,divorced,10999,17519,3,yes,no,21,4,1,80,3,17,3,1,4,2,0,3,0
96,34,rare_travel,806,rnd,10,3,life_sci,1,4,female,97,2,2,lab_tech,3,divorced,3567,16290,8,yes,no,16,3,1,80,1,9,2,2,5,3,1,3,0
97,28,rare_travel,1333,rnd,24,3,other,1,2,male,59,2,1,research_sci,3,divorced,2564,9100,1,yes,yes,23,4,4,80,1,1,2,3,1,1,0,0,1
98,27,rare_travel,618,sales,2,1,life_sci,1,3,male,87,3,2,sales_exec,4,single,8639,8552,1,yes,no,14,3,4,80,0,8,2,2,8,7,1,6,0
99,32,rare_travel,878,sales,9,3,marketing,1,1,male,69,2,2,sales_exec,2,single,5155,22955,1,yes,no,12,3,4,80,0,6,3,3,5,4,1,3,0
100,39,frequent_travel,849,rnd,1,3,medical,1,4,male,64,3,3,health_rep,4,single,9991,21457,1,yes,yes,15,3,3,80,0,14,2,3,14,9,6,12,0
101,33,rare_travel,115,sales,9,4,other,1,4,male,54,3,2,sales_exec,4,single,6883,10893,0,yes,no,11,3,4,80,0,6,3,2,5,4,4,2,0
102,32,rare_travel,1040,sales,3,3,life_sci,1,2,male,70,2,4,manager,3,single,1706,14382,4,yes,yes,13,3,3,80,0,21,4,3,0,0,0,0,0
103,37,rare_travel,598,rnd,2,3,medical,1,4,male,40,3,1,lab_tech,2,married,3072,20460,5,yes,no,13,3,2,80,1,8,6,3,1,0,0,0,0
104,31,rare_travel,704,sales,4,3,tech_deg,1,3,female,81,2,2,sales_exec,1,married,5933,15302,3,yes,no,15,3,4,80,0,8,3,1,2,2,2,2,1
105,45,rare_travel,465,sales,9,4,marketing,1,1,female,85,3,3,sales_exec,3,married,7094,18398,7,yes,yes,17,3,3,80,1,10,2,2,5,2,0,3,0
106,44,frequent_travel,971,rnd,2,3,life_sci,1,2,male,96,2,1,lab_tech,3,single,4876,11929,6,yes,yes,11,3,4,80,0,8,6,3,4,3,0,2,1
107,24,rare_travel,1358,rnd,22,2,life_sci,1,1,male,86,3,1,research_sci,4,married,2836,10554,1,yes,no,11,3,3,80,1,1,2,3,1,0,0,0,1
108,38,frequent_travel,482,rnd,10,4,tech_deg,1,3,male,69,3,2,research_sci,1,married,5209,9696,7,yes,no,20,4,2,80,0,20,3,3,18,7,1,13,0
109,28,rare_travel,267,rnd,1,2,medical,1,3,male,80,3,1,research_sci,4,married,2244,22154,1,yes,no,23,4,4,80,1,3,3,3,2,2,2,2,0
110,26,rare_travel,1258,rnd,9,3,medical,1,1,male,82,3,1,research_sci,4,married,2127,14377,1,yes,no,13,3,3,80,1,1,4,3,1,0,0,0,0
111,58,no_travel,534,rnd,2,3,tech_deg,1,3,female,93,3,5,manager,4,divorced,19502,18611,4,yes,no,14,3,3,80,1,31,4,3,1,0,0,0,0
112,34,frequent_travel,1255,rnd,2,3,other,1,1,male,35,2,1,lab_tech,2,single,2432,11924,0,yes,no,13,3,4,80,0,10,2,3,9,8,0,7,0
113,34,rare_travel,669,rnd,3,4,medical,1,4,male,92,3,2,research_sci,2,married,4374,11309,0,yes,no,14,3,3,80,1,8,6,3,7,7,1,7,0
114,28,rare_travel,478,rnd,1,2,tech_deg,1,4,female,75,3,1,research_sci,2,married,2044,3487,1,yes,no,14,3,2,80,0,5,3,2,5,2,1,3,0
115,24,rare_travel,543,rnd,5,2,medical,1,2,male,79,3,1,lab_tech,2,single,1274,9068,1,yes,no,20,4,2,80,0,1,2,4,1,0,0,0,0
116,46,rare_travel,933,rnd,10,2,other,1,1,male,42,3,3,health_rep,3,divorced,7991,19588,9,yes,yes,13,3,1,80,1,9,3,3,4,3,1,0,0
117,45,frequent_travel,530,sales,29,3,marketing,1,3,female,52,3,3,sales_exec,1,divorced,10453,16376,1,yes,no,21,4,1,80,2,24,0,3,24,9,13,10,0
118,40,rare_travel,1441,rnd,8,4,medical,1,1,female,50,3,1,lab_tech,4,married,2244,24440,7,yes,no,17,3,2,80,1,6,1,3,2,2,2,2,0
119,39,rare_travel,933,rnd,26,4,life_sci,1,3,male,42,3,2,research_sci,4,married,5433,3140,7,yes,no,18,3,4,80,1,19,3,2,11,9,6,8,0
120,21,no_travel,665,rnd,17,1,other,1,4,female,43,3,1,lab_tech,3,single,2028,19719,1,yes,no,14,3,2,80,0,2,3,4,2,2,2,2,0
121,32,frequent_travel,200,sales,3,2,medical,1,4,male,45,3,2,sales_exec,4,single,5346,21072,4,yes,no,13,3,3,80,0,7,6,2,0,0,0,0,0
122,27,rare_travel,607,rnd,3,3,life_sci,1,3,male,79,2,1,lab_tech,3,married,2218,3666,0,yes,no,13,3,2,80,1,5,2,3,4,2,0,2,0
123,31,frequent_travel,334,rnd,1,1,medical,1,1,female,34,3,3,mfg_dir,3,single,7403,24442,0,yes,no,17,3,3,80,0,9,6,2,9,8,7,6,0
124,29,rare_travel,1351,rnd,23,2,life_sci,1,1,male,60,3,1,research_sci,3,single,2909,22310,1,yes,yes,17,3,1,80,0,10,2,1,10,0,0,8,1
125,38,rare_travel,921,rnd,2,2,medical,1,2,female,69,2,1,research_sci,1,married,2838,18698,4,yes,yes,19,3,3,80,1,8,4,3,1,0,0,0,0
126,39,rare_travel,723,sales,29,3,marketing,1,4,female,76,3,3,sales_exec,1,married,10475,24444,1,yes,no,18,3,3,80,3,21,3,2,20,7,10,9,0
127,44,rare_travel,1064,sales,6,3,life_sci,1,1,female,42,2,5,manager,4,married,18265,22021,0,yes,no,13,3,4,80,2,26,3,3,25,13,1,7,0
128,38,rare_travel,1093,rnd,4,2,medical,1,4,male,72,3,1,research_sci,1,single,4440,5855,4,yes,no,13,3,1,80,0,12,3,3,5,4,1,2,0
129,32,frequent_travel,1111,rnd,5,3,medical,1,3,female,34,3,3,mfg_dir,3,single,9998,19293,4,yes,no,18,3,3,80,0,9,2,3,3,2,0,2,0
130,36,rare_travel,662,sales,8,3,life_sci,1,4,female,42,2,2,sales_exec,3,divorced,5647,13494,1,yes,yes,16,3,1,80,1,7,3,2,7,7,0,6,0
131,26,rare_travel,181,rnd,2,1,life_sci,1,3,male,69,3,1,lab_tech,2,single,2451,4981,1,yes,no,24,4,1,80,0,1,3,3,1,1,1,0,0
132,21,frequent_travel,996,rnd,1,1,other,1,2,female,51,3,1,research_sci,3,single,2694,26551,1,yes,no,18,3,3,80,0,1,3,3,1,0,0,0,1
133,30,frequent_travel,1211,sales,6,3,life_sci,1,3,female,47,3,2,sales_exec,2,single,5762,26085,0,yes,no,12,3,4,80,0,10,2,2,9,6,7,7,0
134,31,rare_travel,1276,rnd,1,3,life_sci,1,2,female,62,3,2,health_rep,3,divorced,6142,4223,9,yes,no,14,3,3,80,1,9,3,3,5,2,1,3,0
135,53,rare_travel,756,rnd,2,4,other,1,1,male,36,2,2,health_rep,4,divorced,4539,6698,9,yes,no,18,3,3,80,2,10,2,4,3,2,0,2,0
136,49,frequent_travel,130,rnd,9,3,medical,1,3,male,76,3,1,lab_tech,4,single,2450,18611,1,yes,no,20,4,4,80,0,9,5,3,9,7,0,6,0
137,18,no_travel,574,rnd,4,3,tech_deg,1,4,female,89,4,1,lab_tech,2,married,1675,19305,1,yes,no,19,3,1,80,1,0,2,2,0,0,0,0,0
138,36,rare_travel,1277,rnd,19,3,medical,1,2,female,83,4,1,lab_tech,3,married,3955,14074,1,yes,no,16,3,1,80,1,7,2,3,7,7,0,7,0
139,18,rare_travel,603,rnd,24,2,medical,1,3,male,59,2,1,research_sci,3,single,1569,16154,1,yes,yes,12,3,3,80,0,0,4,2,0,0,0,0,1
140,35,rare_travel,395,sales,4,3,tech_deg,1,3,male,58,3,1,sales_rep,3,married,2231,4658,9,yes,no,19,3,4,80,1,7,3,3,2,2,2,2,0
141,31,rare_travel,715,rnd,17,4,life_sci,1,2,male,83,1,2,mfg_dir,2,married,4577,20652,2,yes,no,23,4,1,80,3,4,2,3,1,0,0,0,0
142,26,rare_travel,1354,rnd,1,3,medical,1,2,female,97,3,1,research_sci,3,single,3660,6054,7,yes,no,14,3,4,80,0,5,2,2,3,2,0,2,0
143,30,rare_travel,1358,sales,7,2,tech_deg,1,4,female,93,3,1,sales_rep,3,married,2083,2755,7,yes,no,14,3,4,80,1,8,3,3,5,4,1,4,0
144,38,rare_travel,989,rnd,9,2,medical,1,3,female,47,3,3,health_rep,3,married,8628,25258,0,yes,yes,19,3,4,80,1,9,5,3,8,7,1,1,0
145,37,rare_travel,1297,rnd,3,3,life_sci,1,1,male,45,3,2,health_rep,3,single,7005,3458,4,yes,no,11,3,4,80,0,9,2,3,5,2,1,4,0
146,29,rare_travel,1120,rnd,29,1,medical,1,2,male,41,3,2,mfg_dir,4,single,5673,11806,1,yes,no,12,3,4,80,0,10,2,3,10,9,6,8,1
147,42,frequent_travel,1084,rnd,2,5,life_sci,1,2,female,45,4,4,research_dir,3,divorced,14336,17477,5,yes,no,13,3,2,80,1,23,2,3,20,17,13,6,0
148,39,rare_travel,549,rnd,3,4,life_sci,1,4,female,88,3,2,mfg_dir,1,single,6397,17778,7,yes,yes,18,3,3,80,0,9,5,3,4,2,1,2,0
149,46,no_travel,1088,rnd,8,2,life_sci,1,3,male,64,2,3,health_rep,1,married,9439,9606,4,yes,no,13,3,2,80,1,9,4,3,4,2,1,3,0
150,26,rare_travel,938,hr,13,1,medical,1,4,female,52,4,1,hr,3,single,2844,8952,1,yes,yes,18,3,3,80,0,8,2,3,8,3,0,7,0
151,25,rare_travel,678,rnd,18,2,life_sci,1,4,male,51,3,1,research_sci,4,single,2935,22887,0,yes,no,13,3,4,80,0,3,4,3,2,2,2,2,1
152,46,rare_travel,1275,sales,15,3,marketing,1,3,male,48,3,2,sales_exec,3,single,6384,21143,8,yes,no,14,3,4,80,0,9,3,3,3,2,0,2,0
153,30,rare_travel,1082,rnd,16,2,tech_deg,1,4,female,56,3,2,mfg_dir,4,married,6439,23490,1,yes,no,19,3,2,80,1,6,3,3,6,5,1,2,0
154,49,no_travel,496,sales,1,3,marketing,1,4,female,40,3,3,sales_exec,1,married,10248,19948,4,yes,yes,14,3,4,80,1,22,3,3,7,7,3,7,0
155,49,rare_travel,658,sales,4,2,medical,1,2,male,77,3,2,sales_exec,3,divorced,4227,20489,2,yes,yes,12,3,4,80,1,7,2,3,5,3,2,4,0
156,20,rare_travel,157,sales,16,3,life_sci,1,3,male,99,1,1,sales_rep,1,married,2867,10007,1,yes,no,14,3,3,80,1,2,3,3,2,2,2,2,0
157,28,rare_travel,207,rnd,1,2,medical,1,4,female,66,1,1,lab_tech,3,single,2207,26204,1,yes,no,12,3,2,80,0,3,5,3,3,2,1,2,0
